Id Unico,Genero,Repetidor,Especialidad,Turno,PRO,Faltas_PRO,TEM,Faltas_TEM,ELA,Faltas_ELA,ELA0,Faltas_ELA0,ELA1,Faltas_ELA1,TEM0,Faltas_TEM0,DIB,Faltas_DIB,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TUT,Faltas_TUT
15b07c48-468c-4181-9879-180d4078f2d3,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,8,0,9,0,7,2,9,0,9,2,5,0,6,1,AC,0,AC,0,,
a528ab71-1e00-483d-80a4-93c2cdd85f6e,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,8,1,7,1,7,2,6,2,9,0,5,0,6,0,AC,0,AC,0,,
55915abe-4b14-4d32-9d51-5f93568b4747,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,10,3,10,1,10,1,9,0,9,0,5,0,10,1,AC,0,AC,0,,
14e1a52a-acac-45cf-b075-ce083b7ef5f1,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,10,1,6,2,9,1,7,0,10,1,6,0,9,0,AC,0,AC,0,,
c3bdaa2f-dc20-4549-bbe6-3c1434f2bfdd,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,2,9,0,5,3,8,0,10,1,5,0,6,0,AC,0,NA,0,,
739ac7f1-a442-4e62-a178-27b7dd6eda41,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,0,5,1,5,0,9,0,8,2,7,0,5,3,AC,0,AC,0,,
8871f47b-9807-4686-a407-bcde6e899abf,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,10,0,10,0,10,0,9,0,9,0,9,0,9,0,AC,0,AC,0,,
4288fcfd-4d71-4df9-8ff2-ae334755c8a0,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,8,1,7,0,7,0,6,4,9,2,7,0,9,5,AC,0,AC,0,,
78fabb9b-4315-40b8-99db-cda0a9b9cd13,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,8,2,8,0,5,2,8,0,9,1,9,0,6,1,AC,0,AC,0,,
620a4cf9-52a7-4f42-a386-f3c987797aab,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,10,0,10,0,10,0,8,0,10,0,10,0,10,1,AC,0,AC,0,,
35889d15-3a98-4c66-b834-c8d1c72cfb4c,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,8,0,6,0,6,0,9,0,10,2,5,0,9,3,AC,0,AC,0,,
e335db75-9eef-4dd5-bff2-ea60a733972c,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,2,6,2,5,1,5,2,9,0,5,0,6,1,AC,0,AC,0,,
e6cb1b12-18c6-43a5-b43d-ba6b5ee27f45,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,1,5,0,8,0,8,0,9,0,5,0,6,0,AC,0,AC,0,,
81137951-d8af-4519-bbcf-e8fbd0667823,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,8,0,9,0,7,1,7,0,9,1,5,0,6,1,AC,0,NA,0,,
3ff310da-8d44-49ce-80fb-65c72fe10066,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,8,1,7,1,7,0,8,0,9,0,5,0,6,1,AC,0,AC,0,,
537eac39-5f30-4f8c-bbd9-ada1f0298b55,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,9,1,9,0,8,0,8,0,10,1,5,0,9,1,AC,0,AC,0,,
91b39404-f885-45f8-a680-9d16e9798383,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,8,0,10,0,10,0,9,0,9,0,9,0,6,0,AC,0,AC,0,,
1f0df750-6183-4225-9606-f724fd3c6e0d,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,2,7,1,7,2,6,1,9,3,6,0,5,3,AC,0,AC,0,,
c9350155-b733-491c-818b-cb3699bdebe5,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,1,7,0,5,2,8,0,10,1,8,0,6,0,AC,0,AC,0,,
50b18614-e90b-4ea2-b749-aa1ca7002152,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,0,5,3,5,0,8,0,8,2,5,0,5,4,AC,0,AC,0,,
62832fad-ea23-4d72-baf0-e84a6e88ace8,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,8,0,6,3,7,0,9,0,10,1,5,0,9,3,AC,0,AC,0,,
840afd2a-1a43-4107-b7a2-c7d5894136b7,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,1,5,0,7,2,9,0,9,3,6,0,9,3,AC,0,AC,0,,
5b16185e-1d73-4c6e-9108-7af42b0084bd,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,6,5,1,7,0,6,1,9,1,5,0,6,1,AC,0,NA,0,,
7ccfa271-57d0-4b1b-863d-3715decba20c,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,9,1,8,0,7,1,8,0,9,0,5,0,9,2,AC,0,AC,0,,
2915aca9-a482-4b72-8287-9f821d7ec568,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,8,0,10,1,10,1,6,3,10,1,6,0,5,5,AC,0,AC,0,,
44e1e7a7-44e8-4000-90c7-2b1b5e2325b4,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,2,7,1,8,2,8,0,9,1,7,0,5,3,AC,0,AC,0,,
